scen,offshore,onshore,pv,battery,methanation,offshore,onshore,pv,battery,methanation
157,191.3995384,112.2098103,39.23139049,10.63397509,71.70543182,central,central,central,central,-50%
158,191.3995384,112.2098103,39.23139049,10.63397509,143.4108636,central,central,central,central,central
159,191.3995384,112.2098103,39.23139049,10.63397509,215.1162955,central,central,central,central,50%
160,191.3995384,112.2098103,39.23139049,15.95096264,71.70543182,central,central,central,50%,-50%
161,191.3995384,112.2098103,39.23139049,15.95096264,143.4108636,central,central,central,50%,central
162,191.3995384,112.2098103,39.23139049,15.95096264,215.1162955,central,central,central,50%,50%
163,191.3995384,112.2098103,48.56368762,5.316987546,71.70543182,central,central,25%,-50%,-50%
164,191.3995384,112.2098103,48.56368762,5.316987546,143.4108636,central,central,25%,-50%,central
165,191.3995384,112.2098103,48.56368762,5.316987546,215.1162955,central,central,25%,-50%,50%
166,191.3995384,112.2098103,48.56368762,10.63397509,71.70543182,central,central,25%,central,-50%
167,191.3995384,112.2098103,48.56368762,10.63397509,143.4108636,central,central,25%,central,central
168,191.3995384,112.2098103,48.56368762,10.63397509,215.1162955,central,central,25%,central,50%
169,191.3995384,112.2098103,48.56368762,15.95096264,71.70543182,central,central,25%,50%,-50%
170,191.3995384,112.2098103,48.56368762,15.95096264,143.4108636,central,central,25%,50%,central
171,191.3995384,112.2098103,48.56368762,15.95096264,215.1162955,central,central,25%,50%,50%
172,191.3995384,112.2098103,57.89598475,5.316987546,71.70543182,central,central,50%,-50%,-50%
173,191.3995384,112.2098103,57.89598475,5.316987546,143.4108636,central,central,50%,-50%,central
174,191.3995384,112.2098103,57.89598475,5.316987546,215.1162955,central,central,50%,-50%,50%
175,191.3995384,112.2098103,57.89598475,10.63397509,71.70543182,central,central,50%,central,-50%
176,191.3995384,112.2098103,57.89598475,10.63397509,143.4108636,central,central,50%,central,central
177,191.3995384,112.2098103,57.89598475,10.63397509,215.1162955,central,central,50%,central,50%
178,191.3995384,112.2098103,57.89598475,15.95096264,71.70543182,central,central,50%,50%,-50%
179,191.3995384,112.2098103,57.89598475,15.95096264,143.4108636,central,central,50%,50%,central
180,191.3995384,112.2098103,57.89598475,15.95096264,215.1162955,central,central,50%,50%,50%
181,238.8101121,112.2098103,20.5668,5.316987546,71.70543182,25%,central,-50%,-50%,-50%
182,238.8101121,112.2098103,20.5668,5.316987546,143.4108636,25%,central,-50%,-50%,central
183,238.8101121,112.2098103,20.5668,5.316987546,215.1162955,25%,central,-50%,-50%,50%
184,238.8101121,112.2098103,20.5668,10.63397509,71.70543182,25%,central,-50%,central,-50%
185,238.8101121,112.2098103,20.5668,10.63397509,143.4108636,25%,central,-50%,central,central
186,238.8101121,112.2098103,20.5668,10.63397509,215.1162955,25%,central,-50%,central,50%
187,238.8101121,112.2098103,20.5668,15.95096264,71.70543182,25%,central,-50%,50%,-50%
188,238.8101121,112.2098103,20.5668,15.95096264,143.4108636,25%,central,-50%,50%,central
189,238.8101121,112.2098103,20.5668,15.95096264,215.1162955,25%,central,-50%,50%,50%
190,238.8101121,112.2098103,29.89909335,5.316987546,71.70543182,25%,central,-25%,-50%,-50%
191,238.8101121,112.2098103,29.89909335,5.316987546,143.4108636,25%,central,-25%,-50%,central
192,238.8101121,112.2098103,29.89909335,5.316987546,215.1162955,25%,central,-25%,-50%,50%
193,238.8101121,112.2098103,29.89909335,10.63397509,71.70543182,25%,central,-25%,central,-50%
194,238.8101121,112.2098103,29.89909335,10.63397509,143.4108636,25%,central,-25%,central,central
195,238.8101121,112.2098103,29.89909335,10.63397509,215.1162955,25%,central,-25%,central,50%
196,238.8101121,112.2098103,29.89909335,15.95096264,71.70543182,25%,central,-25%,50%,-50%
197,238.8101121,112.2098103,29.89909335,15.95096264,143.4108636,25%,central,-25%,50%,central
198,238.8101121,112.2098103,29.89909335,15.95096264,215.1162955,25%,central,-25%,50%,50%
199,238.8101121,112.2098103,39.23139049,5.316987546,71.70543182,25%,central,central,-50%,-50%
200,238.8101121,112.2098103,39.23139049,5.316987546,143.4108636,25%,central,central,-50%,central
201,238.8101121,112.2098103,39.23139049,5.316987546,215.1162955,25%,central,central,-50%,50%
202,238.8101121,112.2098103,39.23139049,10.63397509,71.70543182,25%,central,central,central,-50%
203,238.8101121,112.2098103,39.23139049,10.63397509,143.4108636,25%,central,central,central,central
204,238.8101121,112.2098103,39.23139049,10.63397509,215.1162955,25%,central,central,central,50%
205,238.8101121,112.2098103,39.23139049,15.95096264,71.70543182,25%,central,central,50%,-50%
206,238.8101121,112.2098103,39.23139049,15.95096264,143.4108636,25%,central,central,50%,central
207,238.8101121,112.2098103,39.23139049,15.95096264,215.1162955,25%,central,central,50%,50%
208,238.8101121,112.2098103,48.56368762,5.316987546,71.70543182,25%,central,25%,-50%,-50%
209,238.8101121,112.2098103,48.56368762,5.316987546,143.4108636,25%,central,25%,-50%,central
210,238.8101121,112.2098103,48.56368762,5.316987546,215.1162955,25%,central,25%,-50%,50%
211,238.8101121,112.2098103,48.56368762,10.63397509,71.70543182,25%,central,25%,central,-50%
212,238.8101121,112.2098103,48.56368762,10.63397509,143.4108636,25%,central,25%,central,central
213,238.8101121,112.2098103,48.56368762,10.63397509,215.1162955,25%,central,25%,central,50%
214,238.8101121,112.2098103,48.56368762,15.95096264,71.70543182,25%,central,25%,50%,-50%
215,238.8101121,112.2098103,48.56368762,15.95096264,143.4108636,25%,central,25%,50%,central
216,238.8101121,112.2098103,48.56368762,15.95096264,215.1162955,25%,central,25%,50%,50%
217,238.8101121,112.2098103,57.89598475,5.316987546,71.70543182,25%,central,50%,-50%,-50%
218,238.8101121,112.2098103,57.89598475,5.316987546,143.4108636,25%,central,50%,-50%,central
219,238.8101121,112.2098103,57.89598475,5.316987546,215.1162955,25%,central,50%,-50%,50%
220,238.8101121,112.2098103,57.89598475,10.63397509,71.70543182,25%,central,50%,central,-50%
221,238.8101121,112.2098103,57.89598475,10.63397509,143.4108636,25%,central,50%,central,central
222,238.8101121,112.2098103,57.89598475,10.63397509,215.1162955,25%,central,50%,central,50%
223,238.8101121,112.2098103,57.89598475,15.95096264,71.70543182,25%,central,50%,50%,-50%
224,238.8101121,112.2098103,57.89598475,15.95096264,143.4108636,25%,central,50%,50%,central
225,238.8101121,112.2098103,57.89598475,15.95096264,215.1162955,25%,central,50%,50%,50%
226,191.3995384,139.7363357,20.5668,5.316987546,71.70543182,central,25%,-50%,-50%,-50%
227,191.3995384,139.7363357,20.5668,5.316987546,143.4108636,central,25%,-50%,-50%,central
228,191.3995384,139.7363357,20.5668,5.316987546,215.1162955,central,25%,-50%,-50%,50%
229,191.3995384,139.7363357,20.5668,10.63397509,71.70543182,central,25%,-50%,central,-50%
230,191.3995384,139.7363357,20.5668,10.63397509,143.4108636,central,25%,-50%,central,central
231,191.3995384,139.7363357,20.5668,10.63397509,215.1162955,central,25%,-50%,central,50%
232,191.3995384,139.7363357,20.5668,15.95096264,71.70543182,central,25%,-50%,50%,-50%
233,191.3995384,139.7363357,20.5668,15.95096264,143.4108636,central,25%,-50%,50%,central
234,191.3995384,139.7363357,20.5668,15.95096264,215.1162955,central,25%,-50%,50%,50%
235,191.3995384,139.7363357,29.89909335,5.316987546,71.70543182,central,25%,-25%,-50%,-50%
236,191.3995384,139.7363357,29.89909335,5.316987546,143.4108636,central,25%,-25%,-50%,central
237,191.3995384,139.7363357,29.89909335,5.316987546,215.1162955,central,25%,-25%,-50%,50%
238,191.3995384,139.7363357,29.89909335,10.63397509,71.70543182,central,25%,-25%,central,-50%
239,191.3995384,139.7363357,29.89909335,10.63397509,143.4108636,central,25%,-25%,central,central
240,191.3995384,139.7363357,29.89909335,10.63397509,215.1162955,central,25%,-25%,central,50%
241,191.3995384,139.7363357,29.89909335,15.95096264,71.70543182,central,25%,-25%,50%,-50%
242,191.3995384,139.7363357,29.89909335,15.95096264,143.4108636,central,25%,-25%,50%,central
243,191.3995384,139.7363357,29.89909335,15.95096264,215.1162955,central,25%,-25%,50%,50%
244,191.3995384,139.7363357,39.23139049,5.316987546,71.70543182,central,25%,central,-50%,-50%
245,191.3995384,139.7363357,39.23139049,5.316987546,143.4108636,central,25%,central,-50%,central
246,191.3995384,139.7363357,39.23139049,5.316987546,215.1162955,central,25%,central,-50%,50%
247,191.3995384,139.7363357,39.23139049,10.63397509,71.70543182,central,25%,central,central,-50%
248,191.3995384,139.7363357,39.23139049,10.63397509,143.4108636,central,25%,central,central,central
249,191.3995384,139.7363357,39.23139049,10.63397509,215.1162955,central,25%,central,central,50%
250,191.3995384,139.7363357,39.23139049,15.95096264,71.70543182,central,25%,central,50%,-50%
251,191.3995384,139.7363357,39.23139049,15.95096264,143.4108636,central,25%,central,50%,central
252,191.3995384,139.7363357,39.23139049,15.95096264,215.1162955,central,25%,central,50%,50%
253,191.3995384,139.7363357,48.56368762,5.316987546,71.70543182,central,25%,25%,-50%,-50%
254,191.3995384,139.7363357,48.56368762,5.316987546,143.4108636,central,25%,25%,-50%,central
255,191.3995384,139.7363357,48.56368762,5.316987546,215.1162955,central,25%,25%,-50%,50%
256,191.3995384,139.7363357,48.56368762,10.63397509,71.70543182,central,25%,25%,central,-50%
257,191.3995384,139.7363357,48.56368762,10.63397509,143.4108636,central,25%,25%,central,central
258,191.3995384,139.7363357,48.56368762,10.63397509,215.1162955,central,25%,25%,central,50%
259,191.3995384,139.7363357,48.56368762,15.95096264,71.70543182,central,25%,25%,50%,-50%
260,191.3995384,139.7363357,48.56368762,15.95096264,143.4108636,central,25%,25%,50%,central
261,191.3995384,139.7363357,48.56368762,15.95096264,215.1162955,central,25%,25%,50%,50%
262,191.3995384,139.7363357,57.89598475,5.316987546,71.70543182,central,25%,50%,-50%,-50%
263,191.3995384,139.7363357,57.89598475,5.316987546,143.4108636,central,25%,50%,-50%,central
264,191.3995384,139.7363357,57.89598475,5.316987546,215.1162955,central,25%,50%,-50%,50%
265,191.3995384,139.7363357,57.89598475,10.63397509,71.70543182,central,25%,50%,central,-50%
266,191.3995384,139.7363357,57.89598475,10.63397509,143.4108636,central,25%,50%,central,central
267,191.3995384,139.7363357,57.89598475,10.63397509,215.1162955,central,25%,50%,central,50%
268,191.3995384,139.7363357,57.89598475,15.95096264,71.70543182,central,25%,50%,50%,-50%
269,191.3995384,139.7363357,57.89598475,15.95096264,143.4108636,central,25%,50%,50%,central
270,191.3995384,139.7363357,57.89598475,15.95096264,215.1162955,central,25%,50%,50%,50%
271,238.8101121,139.7363357,20.5668,5.316987546,71.70543182,25%,25%,-50%,-50%,-50%
272,238.8101121,139.7363357,20.5668,5.316987546,143.4108636,25%,25%,-50%,-50%,central
273,238.8101121,139.7363357,20.5668,5.316987546,215.1162955,25%,25%,-50%,-50%,50%
274,238.8101121,139.7363357,20.5668,10.63397509,71.70543182,25%,25%,-50%,central,-50%
275,238.8101121,139.7363357,20.5668,10.63397509,143.4108636,25%,25%,-50%,central,central
276,238.8101121,139.7363357,20.5668,10.63397509,215.1162955,25%,25%,-50%,central,50%
277,238.8101121,139.7363357,20.5668,15.95096264,71.70543182,25%,25%,-50%,50%,-50%
278,238.8101121,139.7363357,20.5668,15.95096264,143.4108636,25%,25%,-50%,50%,central
279,238.8101121,139.7363357,20.5668,15.95096264,215.1162955,25%,25%,-50%,50%,50%
280,238.8101121,139.7363357,29.89909335,5.316987546,71.70543182,25%,25%,-25%,-50%,-50%
281,238.8101121,139.7363357,29.89909335,5.316987546,143.4108636,25%,25%,-25%,-50%,central
282,238.8101121,139.7363357,29.89909335,5.316987546,215.1162955,25%,25%,-25%,-50%,50%
283,238.8101121,139.7363357,29.89909335,10.63397509,71.70543182,25%,25%,-25%,central,-50%
284,238.8101121,139.7363357,29.89909335,10.63397509,143.4108636,25%,25%,-25%,central,central
285,238.8101121,139.7363357,29.89909335,10.63397509,215.1162955,25%,25%,-25%,central,50%
286,238.8101121,139.7363357,29.89909335,15.95096264,71.70543182,25%,25%,-25%,50%,-50%
287,238.8101121,139.7363357,29.89909335,15.95096264,143.4108636,25%,25%,-25%,50%,central
288,238.8101121,139.7363357,29.89909335,15.95096264,215.1162955,25%,25%,-25%,50%,50%
289,238.8101121,139.7363357,39.23139049,5.316987546,71.70543182,25%,25%,central,-50%,-50%
290,238.8101121,139.7363357,39.23139049,5.316987546,143.4108636,25%,25%,central,-50%,central
291,238.8101121,139.7363357,39.23139049,5.316987546,215.1162955,25%,25%,central,-50%,50%
292,238.8101121,139.7363357,39.23139049,10.63397509,71.70543182,25%,25%,central,central,-50%
293,238.8101121,139.7363357,39.23139049,10.63397509,143.4108636,25%,25%,central,central,central
294,238.8101121,139.7363357,39.23139049,10.63397509,215.1162955,25%,25%,central,central,50%
295,238.8101121,139.7363357,39.23139049,15.95096264,71.70543182,25%,25%,central,50%,-50%
296,238.8101121,139.7363357,39.23139049,15.95096264,143.4108636,25%,25%,central,50%,central
297,238.8101121,139.7363357,39.23139049,15.95096264,215.1162955,25%,25%,central,50%,50%
298,238.8101121,139.7363357,48.56368762,5.316987546,71.70543182,25%,25%,25%,-50%,-50%
299,238.8101121,139.7363357,48.56368762,5.316987546,143.4108636,25%,25%,25%,-50%,central
300,238.8101121,139.7363357,48.56368762,5.316987546,215.1162955,25%,25%,25%,-50%,50%
301,238.8101121,139.7363357,48.56368762,10.63397509,71.70543182,25%,25%,25%,central,-50%
302,238.8101121,139.7363357,48.56368762,10.63397509,143.4108636,25%,25%,25%,central,central
303,238.8101121,139.7363357,48.56368762,10.63397509,215.1162955,25%,25%,25%,central,50%
304,238.8101121,139.7363357,48.56368762,15.95096264,71.70543182,25%,25%,25%,50%,-50%
305,238.8101121,139.7363357,48.56368762,15.95096264,143.4108636,25%,25%,25%,50%,central
306,238.8101121,139.7363357,48.56368762,15.95096264,215.1162955,25%,25%,25%,50%,50%
307,238.8101121,139.7363357,57.89598475,5.316987546,71.70543182,25%,25%,50%,-50%,-50%
308,238.8101121,139.7363357,57.89598475,5.316987546,143.4108636,25%,25%,50%,-50%,central
309,238.8101121,139.7363357,57.89598475,5.316987546,215.1162955,25%,25%,50%,-50%,50%
310,238.8101121,139.7363357,57.89598475,10.63397509,71.70543182,25%,25%,50%,central,-50%
311,238.8101121,139.7363357,57.89598475,10.63397509,143.4108636,25%,25%,50%,central,central
312,238.8101121,139.7363357,57.89598475,10.63397509,215.1162955,25%,25%,50%,central,50%
313,238.8101121,139.7363357,57.89598475,15.95096264,71.70543182,25%,25%,50%,50%,-50%
314,238.8101121,139.7363357,57.89598475,15.95096264,143.4108636,25%,25%,50%,50%,central
315,238.8101121,139.7363357,57.89598475,15.95096264,215.1162955,25%,25%,50%,50%,50%
